"","GMCF_2615_053","GMCF_2615_054","GMCF_2615_055","GMCF_2615_057","GMCF_2615_058","GMCF_2615_059","GMCF_2615_060","GMCF_2615_061","GMCF_2615_062","GMCF_2615_063","GMCF_2615_064","GMCF_2615_065","GMCF_2615_066","GMCF_2615_068","GMCF_2615_120","GMCF_2615_121","GMCF_2615_122","GMCF_2615_123","GMCF_2615_124","GMCF_2615_125","GMCF_2615_126","GMCF_2615_127","GMCF_2615_128","GMCF_2615_129","GMCF_2615_130","GMCF_2615_131","GMCF_2615_132","GMCF_2615_133","GMCF_2615_135"
"Euryarchaeota",0,0,0,0,0,0,0,3,17,1,0,0,0,0,0,0,1,1,0,0,0,0,0,7,0,0,0,0,6
"Acidobacteriota",0,0,0,0,0,0,157,0,560,11,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomycetota",442,5636,787,406,0,42,2487,3177,7077,2165,2964,35,136906,10,10,70,34,1532,55,300,219,650,0,4964,423,280,69,886,18
"Aquificota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacillota",882,11008,242,178,0,3,94,594,2088,654,230,7,16236553,0,0,8,30,70,0,1,34,10,0,219,90,88,94,1934564,0
"Bacteroidota",11,417,146,8,0,2,59,2922,4077,43,43,0,96,1,0,1,17,9,0,0,0,12,0,2484,137,1,7,9,2
"Campylobacterota",0,565,0,0,0,0,95,5,6,69,15,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Chlamydiota",0,382,0,0,0,0,1280,42,358,4,142,0,2,0,0,0,0,0,0,0,0,954,0,49,6,0,0,0,0
"Chlorobiota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chloroflexota",0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"Cyanobacteriota",26,63,10,0,0,0,151,20,653,1029,30,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"Deinococcota",4,0,0,0,0,0,7,9,68,48,0,0,7874,0,0,0,0,8,0,0,0,66,0,0,0,0,0,812,0
"Fusobacteriota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pseudomonadota",3807,29439,9853,3701,6,1164,41821,23193068,9925231,32451,12607,760,5360552,354,825,1132,3416,11616,1706,5737,2620,115249,219,9096945,22061,2544,5489,24047,657
"Spirochaetota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thermodesulfobacteriota",0,154,0,1,0,0,0,8,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unclassified Bacteria",674,145239,1122,1316,0,4,4376,60495,38354,8889,3008,4,2625,4,2,414,68,1383,24,178,134,670,0,19517,97,321,23,396,7
"[Streptomyces] sp. (no phylum in NCBI)",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Apicomplexa",32,6969,2,76,0,0,129,13,1297,186,0,2,0,0,0,114,0,94,0,0,0,4,0,776,4,105,0,0,0
"Arthropoda",59,33,33,0,0,0,5996,2115,181384,10110,7867,0,1,0,0,0,0,2,0,0,0,129,0,1033,0,0,3,0,0
"Ascomycota",648,2081,441,8543,0,0,172612,1254,2992943,72402,2283,1,330,5,15,21,1057,261,100,48,1,192919,0,4433888,174885,598,63,40,3
"Basidiomycota",136,964,40,48,0,1,646,4028,12618,498,220,3,702,1,11,65,39,104,0,3,1,880,0,8802,376,480,39,134,1
"Chordata",181,40059,80,342,0,4,748,83,1823,2080,361,18,358,67,0,57,2,362,0,102,0,6,0,7,270,42,20,11,3
"Mucoromycota",1,23,1,0,0,0,3,106,193,5,0,0,17,0,0,0,0,0,0,0,0,4,0,53,322,0,0,1,0
"Nematoda",0,637,0,0,0,0,1,1864,1231,24,0,0,2,0,0,0,0,4,0,0,0,0,0,467,0,0,0,0,0
"Streptophyta",5,3,1,19,0,0,749,861,3162,295,504,0,33,0,0,0,11,27,0,0,0,454,0,1442,610,0,96,11,1
"Unclassified Eukaryota",36,1260,184,24,0,2,1160,395,26850,2522,3596,0,56,0,1,0,101,1,0,0,0,773,0,11337,1638,1404,29,5,0
"No CDS",1315,498,385,141,0,0,12237,135779,141870,6917,2644,0,699486,0,3,0,217,48,2,19,32,14718,0,92040,6796,664,16,40231,2
"Unclassified",5818,406427,2892,5554,20,350,217835,282928,4542443,173135,155339,200,107490,176,583,833,2025,11334,139,998,256,149742,41,856826,51635,1675,2374,17454,172
"Unmapped",88287,1831892,97965,44537,2,1840,1246033,211106,6575327,1253829,413831,1636,342932,962,92,6147,47732,22702,1888,14388,4647,1275737,16,392071,640048,63726,12006,19225,868
"Bacteriophage sp. (no phylum in NCBI)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Negarnaviricota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nucleocytoviricota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unclassified Viruses",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Uroviricota",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus Bathyarchaeota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus Thermoplasmatota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus Woesearchaeota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nitrososphaerota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thermoproteota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unclassified Archaea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Armatimonadota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bdellovibrionota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus Cloacimonadota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus Dormibacteraeota",0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus Eisenbacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus Eremiobacterota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus Pacebacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus Rokubacteria",0,0,0,0,0,0,0,8,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
"Candidatus Saccharibacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus Sumerlaeota",0,529,0,0,0,0,0,0,2,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus Tectomicrobia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus Uhrbacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Deltaproteobacteria (no phylum in NCBI)",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elusimicrobiota",0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gemmatimonadota",0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Lentisphaerota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mycoplasmatota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myxococcota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nitrospinota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nitrospirota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,59,0,0,0,0,0,0,0
"Planctomycetota",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Thermomicrobiota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Verrucomicrobiota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0
"bacterium M00.F.Ca.ET.230.01.1.1 (no phylum in NCBI)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anaeramoeba (no phylum in NCBI)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Annelida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aphelidea (no phylum in NCBI)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacillariophyta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blastocladiomycota",0,0,0,0,0,0,59,27,1814,478,788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chlorophyta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Choanoflagellata (no phylum in NCBI)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chytridiomycota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ciliophora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cnidaria",0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cryptomycota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dinophyceae (no phylum in NCBI)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Echinodermata",0,0,0,0,0,0,0,0,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Euglenozoa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Evosea",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Foraminifera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fornicata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hemichordata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mollusca",0,0,0,0,0,0,1,9,752,4,2,0,502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Olpidiomycota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0
"Oomycota",0,0,0,0,0,0,19,0,415,40,2,0,0,0,0,0,0,0,0,0,0,0,0,247,0,0,0,0,0
"Parabasalia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Platyhelminthes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rhodophyta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0
"Rotifera",0,0,0,0,0,0,0,0,521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tardigrada",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Xanthophyceae (no phylum in NCBI)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zoopagomycota",0,0,0,0,0,0,58,1,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fungal sp. (no phylum in NCBI)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pisuviricota",0,0,0,0,2,0,2,2,0,0,0,6,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Preplasmiviricota",0,0,0,0,0,0,19,4,951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
